id,user_id,name,apellido,email,location,rating,comment,fecha_nacimiento,lugar_vivienda,fecha_llegada,fecha_salida
1,1,Andrea,Díaz,andrea.díaz@example.com,Cerro de La Popa,1,"La comida en los alrededores es deliciosa, pero un poco costosa.",1978-06-09,Pereira,2023-12-31,2024-01-03
2,2,María,López,maría.lópez@example.com,Islas del Rosario,2,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1964-06-23,Bogotá,2023-11-12,2023-11-19
3,3,Andrea,López,andrea.lópez@example.com,Playa Blanca,5,Definitivamente un sitio para regresar y recomendar.,2003-05-06,Barranquilla,2023-07-22,2023-07-24
4,4,Pedro,Fernández,pedro.fernández@example.com,Playa Blanca,4,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,2003-03-15,Pereira,2023-09-03,2023-09-07
5,5,Fernando,Martínez,fernando.martínez@example.com,Ciudad Amurallada,3,"El servicio en algunos lugares no es el mejor, pero el paisaje lo compensa.",1997-11-22,Barranquilla,2024-11-06,2024-11-15
6,6,Pedro,López,pedro.lópez@example.com,Islas del Rosario,5,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1985-12-11,Cúcuta,2023-10-14,2023-10-22
7,7,Pedro,Fernández,pedro.fernández@example.com,Islas del Rosario,3,"Una experiencia maravillosa, las vistas son impresionantes.",1978-08-14,Ibagué,2023-03-19,2023-03-23
8,8,Pedro,Martínez,pedro.martínez@example.com,Ciudad Amurallada,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1999-11-19,Bucaramanga,2023-10-29,2023-11-02
9,9,Fernando,Rodríguez,fernando.rodríguez@example.com,Islas del Rosario,5,"Muy turístico, pero vale la pena cada segundo.",1982-12-29,Manizales,2024-11-08,2024-11-14
10,10,Valentina,Martínez,valentina.martínez@example.com,Museo del Oro Zenú,1,Definitivamente un sitio para regresar y recomendar.,1991-11-07,Cúcuta,2025-01-05,2025-01-07
11,11,Daniela,Díaz,daniela.díaz@example.com,Islas del Rosario,4,"Muy turístico, pero vale la pena cada segundo.",1965-04-19,Medellín,2024-11-05,2024-11-10
12,12,Juan,López,juan.lópez@example.com,Cerro de La Popa,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1992-09-10,Barranquilla,2023-07-14,2023-07-18
13,13,Andrea,Gutiérrez,andrea.gutiérrez@example.com,Cerro de La Popa,1,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1974-05-14,Barranquilla,2024-10-14,2024-10-20
14,14,María,Pérez,maría.pérez@example.com,Cerro de La Popa,2,"Buena experiencia, pero el clima puede ser muy caluroso durante el día.",1998-10-04,Manizales,2023-08-20,2023-08-27
15,15,Andrea,Martínez,andrea.martínez@example.com,Plaza Santo Domingo,3,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1977-06-12,Cali,2025-01-10,2025-01-16
16,16,Luis,Castro,luis.castro@example.com,Playa Blanca,1,Los guías turísticos hacen un excelente trabajo explicando la historia del lugar.,1960-04-28,Cúcuta,2025-02-03,2025-02-04
17,17,Daniela,Gómez,daniela.gómez@example.com,Cerro de La Popa,2,Perfecto para tomar fotos espectaculares y disfrutar del ambiente.,1990-01-31,Medellín,2024-09-06,2024-09-07
18,18,Daniela,Moreno,daniela.moreno@example.com,Islas del Rosario,5,"La comida en los alrededores es deliciosa, pero un poco costosa.",1984-05-15,Manizales,2023-04-19,2023-04-24
19,19,Sofía,Fernández,sofía.fernández@example.com,Ciudad Amurallada,2,Definitivamente un sitio para regresar y recomendar.,1982-08-05,Pereira,2023-06-17,2023-06-24
